"id","name","hz_depths","sand","clay","matrix_color","depletion","concentration","time_saturated"
"92-1","Ap","0-18",85,7,"10YR 4/1","","",0
"92-1","E","18-43",80,6,"2.5Y 6/6","","",0
"92-1","Btc","43-79",55,39,"10YR 5/8","","",0
"92-1","Btcv1","79-130",51,41,"10YR 6/8","","f2 2.5YR 4/8",0
"92-1","Btcv2","130-153",39,51,"10YR 6/8","f2 10YR 7/3","m2 2.5YR 4/8",0
"92-1","B/C","153-156",41,50,"","","",0
"92-1","C","156-213",50,47,"2.5YR 4/8","m3 10YR 8/1","f3 10YR 5/6",0
"92-2","Ap","0-18",83,6,"10YR 2/2","","",0
"92-2","E","18-46",86,4,"10YR 6/4","","",0
"92-2","Btc","46-84",59,32,"10YR 5/8","","",0
"92-2","Btcv1","84-122",58,34,"10YR 6/8","","f2 2.5YR 4/8",1
"92-2","Btcv2","122-145",56,36,"10YR 6/8","c2 10YR 8/2","c2 2.5YR 4/8",4
"92-2","C","145-213",49,40,"2.5YR 4/8","m3 10YR 7/2","",9
"92-3","Ap","0-15",85,4,"10YR 4/2","","",0
"92-3","AE","15-25",82,9,"10YR 5/2","","c1 7.5YR 5/8",1
"92-3","E","25-64",76,15,"10YR 7/4","m3 2.5Y 7/2","c1 7.5YR 6/8",5
"92-3","Bt","64-84",73,17,"2.5Y 6/6","c1 10YR 7/2","c1 10YR 6/8",23
"92-3","Btv1","84-112",70,22,"10YR 6/4","c2 10YR 7/1","c2 10YR 5/6",32
"92-3","Btv2","112-165",71,20,"10YR 6/4","m3 10YR 7/1","c1 10YR 5/6",66
"92-3","Btv3","165",85,13,"10YR 7/2","","c2 7.5YR 6/8",78
"92-4","Ap","0-20",88,2,"10YR 5/1","","",0
"92-4","C1","20-53",93,3,"10YR 6/4","","",0
"92-4","C2","53-79",93,2,"10YR 7/4","","f1 10YR 6/8",0
"92-4","C3","79-130",93,3,"10YR 7/4","c1 10YR 8/2","m1 7.5YR 6/8",1
"92-4","Cg1","130-165",94,0,"10YR 8/1","","c2 10YR 6/8",18
"92-4","Cg2","165-185",96,1,"2.5Y 8/2","","c1 7.5YR 5/8",41
"92-4","2C","185-203",83,3,"10YR 7/2","","f2 2.5Y 6/6",61
"92-5","Ap","0-28",88,3,"10YR 5/2","","",0
"92-5","E1","28-61",89,0,"2.5Y 7/4","","",0
"92-5","E2","61-109",94,2,"2.5Y 7/3","","f1 7.5YR 6/8",0
"92-5","Bt","109-135",85,7,"10YR 6/6","","c1 7.5YR 5/8",4
"92-5","2C","135-183",NA,NA,"10YR 4/6","m3 10YR 7/1","m3 10YR 6/6",27
"92-6","Ap","0-18",83,3,"10YR 5/1","","",0
"92-6","AE","18-46",82,2,"2.5Y 6/3","","f2 2.5Y 6/6",1
"92-6","E1","46-76",87,2,"2.5Y 7/3","","c2 10YR 6/6",7
"92-6","E2","76-104",81,6,"2.5Y 6/3","m2 10YR 8/2","c1 10YR 6/8",15
"92-6","Btvg1","104-119",75,18,"10YR 7/2","","m3 10YR 5/6",28
"92-6","Btvg2","119-168",69,30,"10YR 7/1","","m3 10YR 5/8",53
"92-7","A","0-15",86,0,"10YR 4/1","","",0
"92-7","E","15-41",84,1,"10YR 8/1","","",12
"92-7","Bh1","41-48",81,3,"7.5YR 3/2","","",20
"92-7","Bh2","48-61",83,3,"10YR 3/2","c2 10YR 5/2","",31
"92-7","E'1","61-91",83,2,"10YR 6/3","","c1 7.5YR 6/8",45
"92-7","E'2","91-132",83,1,"10YR 7/2","","c2 10YR 5/6",61
"92-7","B'h","132-140",82,4,"10YR 2/1","","",80
"92-7","C","140-152",79,9,"10YR 6/1","","c1 7.5YR 6/8",91
