soil,hor,sand,silt,clay,R25,G25,B25,pH,EC,CaCO3,C,Ca,Mg,Na,depth
soil1,1,32.3,10.9,52.8,0.41,0.38,0.34,6.85,24,0.05,2.29,183.1,145.8,19,8
soil1,2,29,11.2,58.2,0.31,0.28,0.25,8.08,10,0.05,0.9,234.2,171.6,34.1,25
soil1,3,34.9,11.6,51.9,0.31,0.28,0.25,9.2,23.9,0.3,0.74,230.8,166.4,70.2,55
soil1,4,38.2,10.9,49.7,0.31,0.28,0.25,9.29,41.6,0.4,0.35,167.8,151.6,81.7,100
soil1,5,32.2,10.8,55.6,0.55,0.46,0.36,9.24,73.6,0.7,0.25,203.3,166.7,100,267
soil2,1,18.5,17,61.1,0.34,0.28,0.23,7.38,12.8,0.05,1.96,192.2,244.1,24.5,10
soil2,2,18.3,17.2,63.4,0.34,0.28,0.23,8.48,10,0.05,0.65,224.8,162.8,36,25
soil2,3,16.1,17.4,65.4,0.34,0.28,0.23,9.15,19.3,0.1,0.52,248.6,132.2,70.6,55
soil2,4,15.5,17.4,65.4,0.34,0.28,0.23,0.01,0.05,0.9,0.49,152.3,153.8,18.3,100
soil2,5,12.4,17,68.8,0.49,0.35,0.25,8.67,101.3,0.9,0.29,231.4,224.4,101.7,339
soil3,1,13.8,17.3,66.7,0.34,0.28,0.23,8.12,18.5,0.1,1.18,274.1,164.8,28.5,6
soil3,2,13.9,16.6,68.3,0.34,0.28,0.23,8.94,14.9,0.1,0.62,273.6,164.9,61.4,25
soil3,3,12.7,17,69,0.34,0.28,0.23,9.31,36.1,0.3,0.48,278.9,169.1,96.4,55
soil3,4,9.2,16.7,71.9,0.6,0.44,0.35,8,299,0.5,0.35,268,161,143.4,100
soil3,5,5.3,14.9,78.1,0.37,0.27,0.21,8.85,144,1,0.08,259.2,170.3,181.9,316
soil4,1,13.3,18.7,66.7,0.45,0.36,0.33,8.62,17.8,0.1,0.68,277.4,124.9,49,10
soil4,2,14,16,68.9,0.45,0.36,0.33,9.21,19.7,0.3,0.45,317.8,137.3,34,25
soil4,3,12.5,17,69.2,0.35,0.27,0.24,9.32,26.7,0.4,0.48,364.6,155.8,55.7,55
soil4,4,29.4,13.8,55.1,0.35,0.27,0.19,9.08,74.6,0.9,0.3,302.9,149.9,84,100
soil4,5,7.6,17.8,72.6,0.49,0.35,0.25,8.74,141.5,1.2,0.16,279.4,159,137.6,300
soil5,1,23.4,16.4,59.1,0.44,0.37,0.31,8.09,12.2,0.05,0.62,290.3,158.8,25.9,10
soil5,2,22.9,15.9,60.3,0.46,0.36,0.27,8.6,11.4,0.05,0.51,302.5,155,36.4,25
soil5,3,21.4,16.1,61.6,0.45,0.36,0.33,8.95,18.4,0.05,0.49,283.9,151.8,56.6,55
soil5,4,20.1,15.9,62.6,0.45,0.36,0.33,9.1,40.1,0.7,0.33,262.4,155.9,104.5,100
soil5,5,17.6,16.8,64.6,0.47,0.36,0.29,8.77,84.2,0.3,0.22,251.6,153.6,123.1,283
soil6,1,29.4,18.4,50.9,0.41,0.38,0.34,8.57,11.1,0.1,0.69,224.4,114.9,22.9,10
soil6,2,26,19.1,53.6,0.45,0.36,0.33,9.14,17.2,0.3,0.54,269.2,124.2,37.4,25
soil6,3,30.7,17.6,50.5,0.35,0.27,0.24,9.47,22.4,0.4,0.44,256.2,122.6,69.6,55
soil6,4,21.8,17.5,59.4,0.49,0.35,0.25,9.31,47.9,0.5,0.38,245.3,158.6,119.3,100
soil6,5,17.4,17.4,63.7,0.45,0.36,0.26,9.05,72.8,1,0.14,249.6,166,126.4,259
soil7,1,29,18.2,50.3,0.31,0.28,0.25,6.86,28.4,0.1,1.35,220.7,139.7,15.3,12
soil7,2,25.2,20.5,53.1,0.31,0.28,0.25,8.6,10.9,0.1,0.63,258.2,144.7,38,25
soil7,3,27.1,19.4,52,0.31,0.28,0.25,9.05,19.5,0.4,0.61,214,145.9,55,55
soil7,4,22.2,20.4,54.7,0.34,0.28,0.23,7.86,264,1.2,0.29,262.6,134.5,83.6,100
soil7,5,17.5,15.3,65.3,0.44,0.37,0.31,8.65,143,1.2,0.09,269.9,172.5,101.3,274
soil8,1,29.5,19.2,49.6,0.31,0.28,0.25,7.33,14.2,0.05,0.94,224.3,143,14.9,9
soil8,2,24.7,20.8,53.2,0.34,0.28,0.23,8.18,8.3,0.05,0.73,247.5,135,25.3,25
soil8,3,22.9,21.2,54.5,0.31,0.28,0.25,8.89,20.1,0.3,0.59,239.1,138.7,59.2,55
soil8,4,18.8,16.8,62.2,0.51,0.34,0.27,7.98,289,0.7,0.23,239.9,161.8,131.1,100
soil8,5,15,13.3,70.1,0.54,0.33,0.21,8.58,167.3,0.7,0.18,253.9,185.9,168.2,264
soil9,1,22.2,13.8,62.3,0.45,0.36,0.33,8.41,18.3,0.2,0.87,279.8,182.9,31.5,8
soil9,2,21.4,13.3,63.3,0.45,0.36,0.33,9.14,26.1,1.1,0.47,317.1,204.3,67.3,25
soil9,3,20.5,13.6,63.7,0.45,0.36,0.33,9.29,45.1,1.3,0.44,268.7,225.2,119.4,40
soil9,4,18.15,13.45,66.3,0.45,0.36,0.33,9.13,67.9,1.15,0.41,263.45,230.3,131.25,70
soil9,5,15.8,13.3,68.9,0.45,0.36,0.33,8.97,90.7,1,0.37,258.2,235.4,143.1,100
soil9,6,14.1,11.9,70.7,0.48,0.36,0.24,8.55,162,2.5,0.13,267.5,226.3,156.4,253
soil10,1,25.2,14.4,58.4,0.43,0.37,0.3,8.26,14.5,0.1,1.06,326.2,143.8,21.2,10
soil10,2,24.4,14.9,59,0.44,0.37,0.31,8.95,16.1,0.5,0.66,309.2,144.1,39.9,25
soil10,3,24,15.2,58.7,0.34,0.28,0.23,9.34,26.1,1,0.58,260.4,154.7,81.3,40
soil10,4,21.2,15.15,61.65,0.35,0.27,0.19,9.24,43.8,1.05,0.47,255.45,159.55,105.15,70
soil10,5,18.4,15.1,64.6,0.35,0.27,0.19,9.13,61.5,1.1,0.36,250.5,164.4,129,100
soil10,6,14.6,12.9,70.5,0.49,0.35,0.25,8.77,110.5,1.5,0.04,238.4,165.3,137.1,272
soil11,1,2.3,24.1,70.6,0.35,0.27,0.24,7.9,13.2,0.05,1.76,289.6,173.3,24.4,7
soil11,2,11.9,18.3,67.8,0.45,0.36,0.33,8.18,8.2,0.1,1.09,289.3,157,32.2,25
soil11,3,13.8,16.4,68.4,0.39,0.26,0.18,8.27,17.9,0.5,0.48,305.5,166,62.5,55
soil11,4,14.7,17.4,65.8,0.49,0.35,0.25,9.35,53.5,1.4,0.31,220.3,168.4,114.6,100
soil11,5,17.8,14.4,65.3,0.49,0.35,0.25,8.86,116.2,1.8,0.14,192.7,195.5,137,260
soil12,1,25.4,20.2,53,0.35,0.27,0.24,8.84,25.7,0.2,0.63,265.9,131.8,38.5,10
soil12,2,24.9,19.9,53.6,0.35,0.27,0.24,9.13,26.1,0.6,0.54,262.7,147,59.5,25
soil12,3,21.9,20.8,55.1,0.35,0.27,0.24,9.28,37.8,1.1,0.54,219.6,161.9,86.5,55
soil12,4,18.4,21.2,58.1,0.4,0.26,0.19,9.11,100.8,1.3,0.37,171.2,167.8,163,100
soil12,5,15.3,16.7,65.4,0.37,0.27,0.21,8.95,152.3,1.8,0.12,152.7,183.8,203.8,310
soil13,1,22.5,17.2,57.4,0.35,0.27,0.24,8.54,18.5,1.5,0.77,268.3,230.4,10.6,12
soil13,2,25,16.1,56.3,0.35,0.27,0.19,8.6,19.6,1.3,0.7,263.7,227.8,12.2,20
soil13,3,21.6,16.55,59.5,0.35,0.27,0.19,8.73,19.7,1.1,0.69,273.65,244.35,18.9,30
soil13,4,18.2,17,62.7,0.35,0.27,0.24,8.85,19.8,0.9,0.67,283.6,260.9,25.6,55
soil13,5,18.3,16,63.8,0.35,0.27,0.24,9.11,28.6,0.7,0.63,246.1,265.5,77,100
soil13,6,22.9,15.5,59.7,0.35,0.27,0.24,9.09,50.5,0.8,0.54,202.8,297.7,95,305
soil14,1,32.5,14.8,50.1,0.35,0.27,0.24,8.47,18,0.4,1.27,273.7,156.7,10.1,10
soil14,2,21.6,20.3,56.1,0.35,0.27,0.24,8.84,16.5,0.3,0.95,278.2,173.3,17.8,25
soil14,3,21.3,18.9,57.6,0.36,0.27,0.24,9.06,23.1,0.8,0.79,251.1,191.9,42.1,55
soil14,4,19.1,20.8,57.4,0.36,0.27,0.24,9.34,37.6,1.4,0.7,197.4,232.3,90.3,100
soil14,5,15.1,22.9,59.4,0.47,0.36,0.29,9.11,79,1.8,0.29,153.4,245.3,110.5,279
soil15,1,20.3,21.5,55.2,0.34,0.28,0.23,8.56,18,0.8,1.24,299.5,192.9,8.7,10
soil15,2,20.3,20.6,56,0.34,0.28,0.23,8.67,17.7,1.2,1.06,297.7,223,13.1,25
soil15,3,19.5,21.3,56.1,0.34,0.28,0.23,9.18,20.8,1.7,0.8,216.4,274.7,36.7,55
soil15,4,16.9,23.5,55.4,0.35,0.27,0.24,9.52,32.6,2.9,0.68,125.4,287.2,87.2,100
soil15,5,23.6,24.6,49.7,0.47,0.36,0.29,9.42,55.6,1.4,0.27,88.7,287.3,93.4,294
soil16,1,16.6,21,59,0.35,0.27,0.24,8.39,15.8,0.8,1.51,373,160,6.7,6
soil16,2,17.9,18.8,59.3,0.35,0.27,0.24,8.72,17.5,2.2,1.01,327.2,200,17,25
soil16,3,17.2,19.1,59.7,0.35,0.27,0.24,8.91,22.8,2.4,0.91,285,233.3,33.6,55
soil16,4,15.4,20.1,60.6,0.47,0.36,0.29,9.14,28.4,2.7,0.63,241.8,257.6,63.8,100
soil16,5,16.3,23.2,57.7,0.37,0.27,0.21,9.13,31.5,1.9,0.44,221.9,242.6,62.6,335
