Pedon,hzID,top,bottom,thickness,name,hue,value,chroma,sand,silt,clay,pH,C,N,BD,Sr87_Sr86,Al_ppm,Ca_ppm,Fe_ppm,K_ppm,Mg_ppm,Na_ppm,Ti_ppm,Zr_ppm,epsilon_Ti,tau_ca,tau_Na,tau_K,tau_Al,tau_Fe,tau_Mg,tau_P,tau_C
BL1,1,0,5,5,A,10YR,3,3,0.483503055,0.264765784,0.251731161,4.52,5.21,0.18,1.174,0.7135,31460,12210,37130,5169,11980,1148,4701,24.8,0.153,0.2,0.12,-0.01,-0.01,0.01,0,0.03,1.13
BL1,2,5,18,13,Bw1,10YR,5,2,0.393697479,0.346638655,0.259663866,4.38,0.89,0.01,1.409,0.7157,36930,20210,51680,6340,14460,1701,6638,12.1,-0.32,0.65,0.35,-0.06,-0.07,0.03,-0.02,0.15,0.16
BL1,3,18,58,40,Bw2,10YR,4,6,0.602079002,0.197505198,0.2004158,5.07,0.49,0,1.553,0.7123,47450,12020,63560,12280,15220,949.7,8453,14.3,-0.515,0.57,0.08,0.07,-0.21,0.06,-0.18,0.01,-0.18
BL1,4,58,85,27,C,10YR,3,3,0.712230216,0.183213429,0.104556355,5.15,0.32,0,1.56,0.7142,32990,3180,28240,5381,9892,412,4080,16.3,,,,,,,,,
BL2,5,0,10,10,A,10YR,4,3,0.403292181,0.308641975,0.288065844,4,3.55,0.07,1.241,0.7162,40220,3748,37010,6287,12260,416.9,5459,7.1,0.154,-0.04,0.01,-0.03,-0.04,-0.03,-0.02,-0.02,1.64
BL2,6,10,35,25,Bw,10YR,4,4,0.432586558,0.254582485,0.312830957,3.95,0.82,0.02,1.452,0.7165,40300,3929,37390,6117,12290,423.9,5444,17.1,-0.011,-0.1,0.02,-0.09,-0.1,-0.07,-0.05,-0.06,0.69
BL2,7,35,75,40,BC,10YR,4,6,0.587628866,0.144329897,0.268041237,4.83,0.52,0,1.569,0.7134,50440,4384,43140,7691,12880,346.1,5042,17.1,-0.012,-0.08,-0.04,-0.01,-0.04,-0.01,-0.02,0.25,0.59
BL2,8,75,100,25,C,10YR,3,4,0.50101833,0.254582485,0.244399185,5.03,0.25,0,1.527,0.7121,54870,5196,44840,7921,13610,376.6,5120,15.6,,,,,,,,,
BL3,9,0,10,10,A,10YR,3,3,0.442213115,0.256147541,0.301639344,4.07,4.32,0.11,1.228,0.7155,39920,11120,37510,5104,11940,877.7,5312,7.1,0.272,0.02,0.04,-0.03,-0.01,-0.01,0,-0.01,0.58
BL3,10,10,20,10,E,10YR,5,3,0.456967213,0.276639344,0.266393443,4.54,1.44,0.03,1.412,0.7167,44280,10810,39010,5557,12110,833.9,5066,12.7,0.16,0.02,0.04,-0.03,0,0,0,0.03,0.15
BL3,11,20,82,62,Bw,10YR,4,6,0.656619145,0.104684318,0.238696538,5.13,0.2,0,1.619,0.7144,41550,13080,39490,6355,12850,1026,5046,15.5,0.015,0.24,0.39,-0.11,-0.02,0.02,0.03,0.06,-0.31
BL3,12,82,122,40,BC,10YR,5,4,0.518350515,0.24742268,0.234226804,5.85,0.31,0,1.522,0.715,50010,11920,45150,7067,13260,870.6,5520,23.9,-0.012,0.08,0.12,-0.07,0.02,0.03,0,-0.08,-0.15
BL3,13,122,140,18,C,10YR,5,8,0.58677686,0.185950413,0.227272727,5.52,0.16,0,1.558,0.7156,45250,9320,40420,8647,12790,611.6,5325,17.6,,,,,,,,,
BL4,14,0,13,13,A,7.5YR,3,3,0.327419355,0.342741935,0.32983871,4.25,1.38,0.02,1.348,0.7191,32630,4665,32890,3910,9037,583,4100,20.8,0.055,-0.11,-0.08,-0.04,-0.01,-0.05,-0.05,-0.04,0.51
BL4,15,13,24,11,Bw,7.5YR,4,3,0.347131148,0.317622951,0.335245902,5.72,0.64,0.04,1.419,0.7161,36570,6438,38090,4199,10820,618.9,4040,19.3,0.018,-0.07,-0.06,-0.02,0.02,-0.02,-0.02,0.01,0.11
BL4,16,24,67,43,C1,10YR,4,4,0.546373626,0.167912088,0.285714286,5.13,0.78,0,1.536,0.7171,37830,7090,39250,4258,11090,679.2,4224,15.9,-0.101,-0.24,-0.21,-0.11,0.05,-0.08,-0.08,0.08,0.64
BL4,17,67,95,28,C2,7.5YR,4,6,0.641322314,0.123966942,0.234710744,5.1,0.34,0,1.596,0.7236,30200,9782,38980,4441,10990,867,3656,16.2,,,,,,,,,
BU1,22,0,5,5,A,10YR,3,3,0.508009153,0.194508009,0.297482838,4.6,31.21,0.76,0.546,0.7143,14590,6935,12720,2828,5892,171.4,1388,19.6,3.182,4.94,-0.02,-0.16,0.03,-0.03,0.09,1.33,32.55
BU1,23,5,10,5,BC,10YR,4,6,0.569672131,0.218032787,0.212295082,5.39,0.43,0,1.53,0.7175,22650,878.1,18850,4308,6517,226.7,1290,14.8,0.605,0.24,0.19,0.06,0.38,0.26,0.21,0.3,-0.01
