"texcl","texture","theta_r","theta_s","alpha","npar","theta_r_sd","theta_s_sd","alpha_sd","npar_sd"
"","clay",0.098,0.459,-1.825,0.098,0.107,0.079,0.68,0.07
"","clay loam",0.079,0.442,-1.801,0.151,0.076,0.079,0.69,0.12
"","loam",0.061,0.399,-1.954,0.168,0.073,0.098,0.73,0.13
"","loamy sand",0.049,0.39,-1.459,0.242,0.042,0.07,0.47,0.16
"","sand",0.053,0.375,-1.453,0.502,0.029,0.055,0.25,0.18
"","sandy clay",0.117,0.385,-1.476,0.082,0.114,0.046,0.57,0.06
"","sandy clay loam",0.063,0.384,-1.676,0.124,0.078,0.061,0.71,0.12
"","sandy loam",0.039,0.387,-1.574,0.161,0.054,0.085,0.56,0.11
"","silt",0.05,0.489,-2.182,0.225,0.041,0.078,0.3,0.13
"","silty clay",0.111,0.481,-1.79,0.121,0.119,0.08,0.64,0.1
"","silty clay loam",0.09,0.482,-2.076,0.182,0.082,0.086,0.59,0.13
"","silt loam",0.065,0.439,-2.296,0.221,0.073,0.093,0.57,0.14
