sample_id	CaH2O	Ca2MKCl	CaNa2EDTA	CaCuCl2
F1.1	0.06	1.22	1.33	1.47
F1.2	0.02	0.81	0.97	1.06
F1.3	0.02	0.84	0.98	1.05
F1.4	0.01	0.75	0.83	0.88
F1.5	0.01	0.75	0.92	0.88
F1.6	0.01	0.69	0.72	0.86
F2.1	0.03	0.88	0.83	0.96
F2.2	0.01	0.31	0.34	0.35
F2.3	0.01	0.28	0.31	0.35
F2.4	0.01	0.32	0.33	0.39
F2.5	0.01	0.3	0.34	0.34
F2.6	0.01	0.25	0.29	0.34
F3.1	0.1	1.4	1.63	1.66
F3.2	0.04	0.54	0.5	0.67
F3.3	0.02	0.45	0.47	0.56
F3.4	0.01	0.35	0.36	0.44
F3.5	0.02	0.32	0.31	0.46
F3.6	0.01	0.3	0.54	0.44
B1.1	0.3	4.83	17.69	20.37
B1.2	0.31	3.65	17.08	16.86
B1.3	0.17	3.37	5.63	7.7
B1.4	0.1	3.03	5.61	6.74
B1.5	0.08	2.74	4.79	5.83
B1.6	0.07	2.2	3.91	4.51
B2.1	0.2	4.31	6.47	7.77
B2.2	0.15	3.58	5.9	7.18
B2.3	0.12	3.24	5.53	6.88
B2.4	0.08	3.31	5.48	6.48
B2.5	0.07	3.11	5.36	6.77
B2.6	0.13	2.41	20.08	16.58
B3.1	0.2	3.53	3.7	5.39
B3.2	0.08	2.69	3.95	4.85
B3.3	0.07	2.55	4.19	4.85
B3.4	0.05	2.77	3.89	5.25
B3.5	0.05	2.42	4.25	4.38
B3.6	0.05	2.41	3.57	4.25
B3.7	0.13	2.3	4.89	10.06
