sample_id	Al	Ca	Cr	Fe	K	Mg	Mn	Na	Ni	P	Si	Ti
F1.1	88.8	3.0	0.2	49.7	22.6	12.1	0.7	7.3	0.1	1.8	320.3	5.3
F1.2	91.4	2.4	0.2	50.8	23.2	12.4	0.8	7.6	0.1	1.6	317.5	5.3
F1.3	91.3	2.3	0.2	51.2	23.4	12.7	0.9	7.8	0.1	1.5	316.7	5.2
F1.4	93.6	2.1	0.2	51.5	25.0	13.2	0.9	7.9	0.1	1.4	312.7	5.3
F1.5	97.4	1.9	0.2	52.5	26.5	13.8	0.9	7.9	0.1	1.2	307.8	5.5
F1.6	101.4	1.6	0.2	53.6	28.5	15.0	0.9	8.1	0.1	0.8	301.8	5.5
F2.1	87.1	2.2	0.1	49.3	21.2	11.6	0.7	7.6	0.1	1.8	323.1	5.0
F2.2	87.5	1.4	0.1	49.8	21.6	12.3	0.8	7.9	0.1	1.4	322.8	4.8
F2.3	87.6	1.3	0.1	50.0	22.2	12.5	0.9	8.0	0.1	1.4	322.5	4.8
F2.4	88.2	1.3	0.1	49.6	22.6	12.6	0.9	7.8	0.1	1.3	321.3	4.9
F2.5	90.2	1.2	0.2	50.2	23.5	13.2	0.9	8.0	0.1	1.2	318.8	4.8
F2.6	88.8	1.1	0.1	48.8	24.1	13.5	1.0	8.1	0.1	1.0	320.4	4.7
F3.1	88.4	3.4	0.1	49.1	22.7	12.0	0.9	7.6	0.1	2.3	320.4	5.1
F3.2	88.0	2.0	0.1	49.9	22.4	12.1	0.9	7.7	0.1	1.7	321.4	5.0
F3.3	87.0	1.6	0.1	49.8	22.2	12.2	0.9	7.9	0.1	1.5	321.9	4.9
F3.4	88.3	1.4	0.1	49.7	22.8	12.4	0.9	8.2	0.1	1.4	320.5	4.9
F3.5	90.0	1.4	0.1	49.9	23.3	12.4	0.9	7.8	0.1	1.3	319.6	5.0
F3.6	89.0	1.9	0.1	49.8	23.4	12.7	0.8	8.0	0.1	1.3	320.0	4.8
B1.1	91.0	28.7	0.2	52.4	26.6	15.3	0.7	6.1	0.1	2.9	293.2	5.6
B1.2	90.1	31.4	0.2	52.1	26.1	15.0	0.8	6.1	0.1	2.9	294.3	5.5
B1.3	91.8	12.7	0.2	52.9	27.4	15.1	1.0	6.1	0.1	3.3	299.9	5.5
B1.4	91.8	10.5	0.1	53.2	27.1	14.9	1.2	6.2	0.1	3.3	304.0	5.5
B1.5	90.1	9.3	0.1	52.9	26.6	14.7	1.1	6.1	0.1	3.3	306.8	5.3
B1.6	91.4	7.3	0.1	53.3	27.1	15.0	0.9	6.0	0.1	2.4	306.0	5.3
B2.1	93.6	13.9	0.2	50.7	27.3	15.0	0.8	6.5	0.1	5.4	296.9	5.6
B2.2	91.8	13.2	0.2	53.0	27.0	14.7	1.1	6.4	0.1	6.2	297.4	5.5
B2.3	91.0	11.9	0.2	52.4	26.7	14.5	1.2	6.5	0.1	6.4	300.0	5.5
B2.4	89.8	11.2	0.2	52.0	26.3	14.4	1.2	6.5	0.1	6.8	301.6	5.4
B2.5	90.8	10.5	0.2	51.1	25.8	14.7	1.0	6.7	0.1	6.8	303.8	5.5
B2.6	87.2	47.1	0.2	47.1	25.6	15.1	0.7	6.5	0.1	5.1	287.4	5.1
B3.1	93.0	9.7	0.2	47.8	27.9	14.6	0.8	6.5	0.1	5.8	303.4	5.5
B3.2	91.8	8.6	0.2	53.6	27.3	14.6	1.6	6.5	0.1	6.3	300.2	5.4
B3.3	91.8	8.6	0.2	53.4	27.1	14.6	1.6	6.5	0.1	6.5	299.8	5.4
B3.4	92.7	8.9	0.2	51.5	27.0	14.8	1.5	6.7	0.1	6.3	301.9	5.4
B3.5	94.5	8.1	0.2	52.0	27.6	15.2	1.3	6.7	0.1	5.4	301.0	5.5
B3.6	96.1	7.7	0.2	52.9	28.3	15.7	1.2	6.8	0.1	4.3	298.4	5.6
B3.7	94.7	13.0	0.2	53.3	27.8	15.7	0.9	6.7	0.1	3.0	299.3	5.4
