sample_id	depth	name	pH	Al_exch	Ca_exch	CEC_sum	Ca_exch_saturation	Al_exch_saturation	TON	SOC	C_to_N	Alo	Feo	Ald	Fed	Feo_Fed
F1.1	0-5	Ah	4.1	0.4	6.2	7.3	84.9	5.7	0.6	4.7	8.0	2.6	13.2	3.2	24.0	0.6
F1.2	5-10	A1	4.3	0.3	4.5	5.3	84.9	6.4	0.4	3.0	7.5	2.8	12.5	3.3	23.0	0.5
F1.3	10-15	A2	4.3	0.2	4.1	4.7	87.0	5.2	0.3	2.3	7.3	3.1	11.8	3.3	22.3	0.5
F1.4	15-25	B1	4.5	0.2	3.8	4.6	82.8	5.1	0.2	1.6	6.8	2.6	12.1	3.8	24.6	0.5
F1.5	25-35	B2	4.5	0.2	4.1	4.6	89.1	4.5	0.2	1.3	6.1	2.9	11.2	3.9	25.4	0.4
F1.6	35-52	B3	4.6	0.1	4.3	4.6	93.3	1.5	0.2	0.9	5.3	2.5	9.1	3.0	22.8	0.4
F2.1	0-5	Ah	4.0	1.3	4.4	6.1	72.6	20.6	0.7	5.8	8.6	2.9	11.1	3.7	23.7	0.5
F2.2	5-10	A	4.2	1.5	1.6	3.2	48.4	45.7	0.3	2.4	7.7	3.1	11.5	3.6	22.1	0.5
F2.3	10-15	AB	4.2	1.4	1.5	3.0	50.0	44.5	0.3	2.3	7.5	2.8	10.6	3.9	23.1	0.5
F2.4	15-20	B1	4.3	1.0	1.7	2.8	61.1	36.7	0.3	2.0	7.3	2.9	10.8	3.7	21.8	0.5
F2.5	20-25	B2	4.4	0.9	1.6	2.6	62.9	34.5	0.2	1.5	6.7	2.8	9.9	3.9	23.3	0.4
F2.6	25-40	BC	4.4	0.8	1.6	2.5	63.5	33.1	0.2	1.0	5.6	2.1	7.4	3.0	19.7	0.4
F3.1	0-5	Ah	4.3	0.5	7.6	9.0	84.1	5.7	0.7	6.1	8.5	2.8	12.2	3.3	21.7	0.6
F3.2	5-10	A	4.4	0.9	3.2	4.5	71.2	19.8	0.4	3.4	7.8	3.0	11.6	3.6	21.8	0.5
F3.3	10-15	B1	4.5	0.9	2.6	3.8	66.9	23.5	0.3	2.3	7.4	2.7	9.9	3.6	21.5	0.5
F3.4	15-20	B2	4.4	1.1	1.7	3.0	56.4	34.8	0.3	2.0	7.3	3.0	10.6	4.3	24.6	0.4
F3.5	20-25	B3	4.5	1.1	1.9	3.2	58.1	33.8	0.2	1.7	7.4	3.2	10.5	4.1	22.9	0.5
F3.6	25-40	BC	4.5	1.1	1.7	3.1	54.3	35.9	0.2	1.5	7.5	3.2	10.1	3.8	20.5	0.5
B1.1	0-5	Ah1	6.3	0	23.2	23.7	97.6	0.0	0.8	7.7	9.2	0.9	13.1	0.9	24.7	0.5
B1.2	5-10	Ah2	6.4	0	23.0	23.4	98.4	0.0	0.8	6.8	8.9	1.0	14.0	1.0	25.4	0.6
B1.3	10-15	ABh	6.3	0	20.3	20.6	98.5	0.0	0.6	5.3	8.7	1.2	15.3	1.0	24.5	0.6
B1.4	15-20	Bh	6.4	0	16.9	17.2	98.4	0.0	0.5	4.3	8.5	1.4	17.9	1.2	26.8	0.7
B1.5	20-25	B1	6.4	0	15.2	15.5	98.3	0.0	0.4	3.4	8.3	1.2	15.3	1.2	26.3	0.6
B1.6	25-40	B2	6.3	0	11.8	12.0	98.2	0.0	0.3	2.3	7.8	1.3	13.8	1.4	29.9	0.5
B2.1	0-5	Ah1	5.7	0	23.5	23.8	98.7	0.0	0.9	8.3	9.2	1.6	17.6	1.3	20.2	0.9
B2.2	5-10	Ah2	5.7	0	18.4	18.6	98.8	0.0	0.8	7.3	9.3	1.6	20.8	1.5	25.1	0.8
B2.3	10-15	ABh	5.8	0	18.8	19.1	98.9	0.0	0.7	6.1	9.2	1.7	21.5	1.5	26.0	0.8
B2.4	15-20	Bh1	5.8	0	16.9	17.3	97.6	0.0	0.5	5.1	9.4	1.7	22.4	1.5	25.3	0.9
B2.5	20-25	Bh2	5.9	0	14.6	14.7	98.9	0.0	0.4	4.1	9.5	1.6	20.9	1.6	30.1	0.7
B2.6	25-40	BC	6.5	0	12.8	13.1	98.0	0.0	0.3	2.7	9.0	0.9	15.5	1.0	22.1	0.7
B3.1	0-5	Ah1	5.0	0	13.5	14.5	93.0	0.0	1.1	9.4	8.8	2.0	21.4	1.7	17.4	1.2
B3.2	5-10	Ah2	5.3	0	11.3	12.0	94.4	0.0	0.6	5.3	8.9	2.0	20.8	1.8	25.6	0.8
B3.3	10-15	ABh	5.1	0	12.3	12.9	95.3	0.0	0.5	5.1	9.4	1.9	21.1	1.8	26.3	0.8
B3.4	15-20	Bh	5.2	0	13.4	14.4	93.2	0.0	0.5	4.5	9.4	1.9	26.7	1.6	27.5	1.0
B3.5	20-25	B1	5.3	0	12.5	12.9	97.0	0.0	0.4	3.8	8.8	1.6	17.9	1.6	26.6	0.7
B3.6	25-30	B2	5.2	0	12.1	12.5	96.8	0.0	0.4	3.4	9.0	1.3	14.2	1.5	26.7	0.5
B3.7	30-37	BC	6.4	0	12.0	12.3	97.7	0.0	0.3	2.4	8.6	0.9	12.1	1.2	25.4	0.5
