sample_id	Phyllosilicates	Quartz	K_Feldspar	Na_Plagioclase	Goethite	Unidentified	CCE_Total	CCE_Reactive	Reactive_carbonate	Sand	Silt	Clay
F1.1	42.8	44.4	0.0	5.5	1.5	5.9	0.0	0.0	0	18.4	67.9	13.7
F1.2	42.9	41.5	1.7	5.6	0.0	8.4	0.0	0.0	0	18.9	68.5	12.7
F1.3	41.3	38.3	1.5	6.5	1.5	10.9	0.0	0.0	0	18.6	68.2	13.2
F1.4	41.3	38.3	2.0	5.5	1.3	11.6	0.0	0.0	0	18.1	68.7	13.1
F1.5	41.5	36.5	3.4	6.5	0.0	12.1	0.0	0.0	0	17.7	69.1	13.2
F1.6	43.9	38.3	1.7	6.0	0.0	10.1	0.0	0.0	0	14.0	65.4	20.6
F2.1	45.7	41.8	1.7	4.9	0.0	5.8	0.0	0.0	0	18.4	64.1	17.5
F2.2	41.5	41.4	1.8	7.9	1.7	5.8	0.0	0.0	0	18.3	65.7	16.0
F2.3	45.1	43.6	1.8	5.8	1.6	2.1	0.0	0.0	0	18.1	65.7	16.2
F2.4	41.5	41.7	1.2	6.0	0.0	9.7	0.0	0.0	0	19.2	69.8	11.1
F2.5	42.6	41.0	1.2	4.8	0.0	10.4	0.0	0.0	0	17.4	68.4	14.2
F2.6	40.6	39.7	1.3	6.7	0.0	11.8	0.0	0.0	0	14.4	62.8	22.8
F3.1	40.8	42.5	0.0	7.2	0.0	9.5	0.0	0.0	0	21.1	68.6	10.3
F3.2	40.9	43.6	1.3	4.8	0.0	9.5	0.0	0.0	0	18.8	67.8	13.5
F3.3	40.8	44.4	1.5	7.3	1.2	4.8	0.0	0.0	0	17.7	67.4	15.0
F3.4	42.9	43.1	1.5	6.2	1.6	4.8	0.0	0.0	0	17.3	67.1	15.6
F3.5	42.8	38.9	1.7	6.2	0.0	10.5	0.0	0.0	0	17.8	68.7	13.6
F3.6	41.6	40.7	1.3	6.7	0.0	9.8	0.0	0.0	0	16.1	66.9	17.0
B1.1	42.9	39.8	2.1	4.1	0.0	7.3	3.8	3.7	97	15.3	73.9	10.8
B1.2	45.3	36.7	2.0	4.2	0.0	5.8	4.2	3.4	79	16.1	74.9	9.0
B1.3	47.0	38.2	2.0	3.8	0.0	9.0	1.1	0.6	54	16.5	73.9	9.7
B1.4	42.7	39.3	2.1	5.6	1.6	8.8	1.0	0.6	60	16.0	73.6	10.4
B1.5	43.2	43.1	2.0	3.6	0.0	8.1	0.8	0.6	67	15.2	73.1	11.7
B1.6	41.7	43.0	2.5	4.7	0.0	7.4	0.8	0.4	53	15.3	72.9	11.9
B2.1	48.0	33.7	2.1	4.2	1.6	10.5	1.0	0.6	59	17.5	72.9	9.6
B2.2	47.5	33.6	2.3	4.5	1.7	9.9	1.0	0.9	85	16.4	73.2	10.4
B2.3	45.7	34.7	3.7	3.9	1.9	10.1	1.0	0.7	69	15.4	73.8	10.8
B2.4	37.6	50.4	1.6	4.1	0.0	6.3	1.0	0.7	72	14.9	73.6	11.5
B2.5	40.0	41.0	2.0	4.3	1.3	10.9	0.9	0.4	41	14.2	75.6	10.2
B2.6	35.8	36.6	2.3	6.1	0.0	9.7	6.2	3.9	62	13.3	74.7	12.0
B3.1	53.6	31.9	2.5	8.5	0.0	3.6	0.7	0.6	82	15.8	74.1	10.1
B3.2	43.6	41.7	2.5	4.4	0.0	7.9	0.6	0.5	82	14.9	73.2	12.0
B3.3	51.2	35.5	2.3	4.3	0.0	6.8	0.6	0.5	86	14.5	74.4	11.2
B3.4	49.4	37.7	1.9	5.9	0.0	5.2	0.6	0.5	83	14.9	74.0	11.1
B3.5	47.6	36.9	1.9	4.8	0.0	8.9	0.6	0.5	88	14.7	75.9	9.5
B3.6	47.0	37.6	1.8	4.4	0.0	8.6	0.6	0.6	97	15.0	75.6	9.4
B3.7	41.7	37.6	2.0	5.3	1.7	10.2	1.9	1.9	98	14.9	76.4	8.7
