id,name,top,bottom,hz_boundary,hue,value,chroma,sand,silt,clay,frags,ex.K,ex.Na,ex.Mg,ex.Ca,CEC,BS,Si_o,Fe_o,Al_o,Fe_d,Fe_p,Al_p,elev,MAAT,MAP,geo,x,y
Vista,A,0,14,AW,10YR,5,4,79,11,10,20,0.61,0.02,1.07,8.57,11.5,89,0.1,0.6,0.3,4.3,0.2,0.2,198,16.7,33,tonalite,-119.56793,36.97148
Vista,Bw1,14,19,AW,10YR,6,3,80,12,8,15,0.2,0.03,0.65,4.31,6.5,80,0.1,0.7,0.4,4.6,0.1,0.1,198,16.7,33,tonalite,-119.56793,36.97148
Vista,Bw2,19,34,AW,10YR,5,3,79,13,8,33,0.13,0.05,0.78,4.49,7,78,0.1,0.7,0.4,5.3,0.1,0.1,198,16.7,33,tonalite,-119.56793,36.97148
Vista,Bt,34,56,AW,10YR,5,3,76,14,10,33,0.09,0.08,0.83,4.81,7.1,82,0.1,0.6,0.4,5.2,0.1,0.1,198,16.7,33,tonalite,-119.56793,36.97148
Ahwahnee,A1,0,4,AW,10YR,5,2,73,21,9,5,0.21,0.03,0.32,4.47,7.5,67,0.1,0.7,0.7,5.6,0.3,0.2,561,15,57,tonalite,-119.4713,37.0471
Ahwahnee,A2,4,19,CS,10YR,5,2,72,22,12,5,0.18,0.02,0.34,3.98,6.1,74,0.1,0.7,0.7,6.4,0.2,0.1,561,15,57,tonalite,-119.4713,37.0471
Ahwahnee,BA,19,40,GS,10YR,5,4,74,19,14,5,0.15,0.03,0.28,3.45,5.6,85,0.1,0.6,0.6,5.9,0.1,0.1,561,15,57,tonalite,-119.4713,37.0471
Ahwahnee,Bt,40,72,AI,10YR,5,4,76,16,16,5,0.12,0.02,0.27,2.56,5.5,72,0.1,0.5,0.5,5.2,0.1,0.1,561,15,57,tonalite,-119.4713,37.0471
Auberry,A1,0,5,CS,10YR,5,2,72,19,9,5,0.34,0.02,0.91,5.95,10.5,69,0.1,0.8,0.9,6.5,0.4,0.6,794,14.4,62,tonalite,-119.4513,37.047
Auberry,A2,5,18,CS,10YR,6,3,70,21,9,5,0.32,0.02,0.76,5.03,8.3,74,0.1,0.7,0.8,8.4,0.2,0.3,794,14.4,62,tonalite,-119.4513,37.047
Auberry,BAt,18,38,CS,10YR,5,3,64,25,11,5,0.21,0.03,0.73,4.54,7.4,75,0.1,0.6,0.7,8.5,0.1,0.2,794,14.4,62,tonalite,-119.4513,37.047
Auberry,Bt1,38,70,AS,10YR,5,3,56,24,20,5,0.16,0.1,1.6,4.21,7.1,86,0.1,0.6,0.7,5.2,0.1,0.2,794,14.4,62,tonalite,-119.4513,37.047
Auberry,Bt2,70,115,GW,7.5YR,5,5,64,23,13,5,0.07,0.09,1.65,3.56,6.7,80,0.1,0.5,0.7,4.2,0.1,0.1,794,14.4,62,tonalite,-119.4513,37.047
Auberry,BC,115,140,CW,10YR,6,3,74,19,7,10,0.05,0.07,1.52,3.02,5.3,88,0.1,0.6,0.6,3.9,0.1,0.1,794,14.4,62,tonalite,-119.4513,37.047
Musick,AE,0,29,CW,10YR,6,3,60,27,15,5,0.48,0.04,1.34,3.53,11.9,45,0.1,1,1.1,7.6,0.9,1.1,1390,11.1,91,granodiorite,-119.37341,37.06087
Musick,EBt,29,38,AW,10YR,6,4,62,24,16,5,0.43,0.04,1.24,3.29,9.2,54,0.1,0.8,0.9,9.3,0.8,0.7,1390,11.1,91,granodiorite,-119.37341,37.06087
Musick,Bt1,38,54,CW,10YR,5,8,64,14,27,5,0.34,0.03,1.29,2.64,8.6,50,0.1,0.8,0.9,14.4,0.1,0.3,1390,11.1,91,granodiorite,-119.37341,37.06087
Musick,Bt2,54,69,AW,2.5YR,5,6,63,16,25,5,0.26,0.03,1.17,2.35,8.4,46,0.1,0.8,0.8,11.9,0.1,0.3,1390,11.1,91,granodiorite,-119.37341,37.06087
Musick,BCt1,69,96,CW,7.5YR,6,8,67,18,17,5,0.23,0.05,1.16,2.09,8.8,40,0.1,0.9,0.8,10.3,0.1,0.2,1390,11.1,91,granodiorite,-119.37341,37.06087
Musick,BCt2,96,180,CW,7.5YR,7,3,76,17,11,5,0.17,0.04,1.29,1.67,8,39,0.1,0.6,0.6,7,0.1,0.2,1390,11.1,91,granodiorite,-119.37341,37.06087
Shaver,A1,0,4,CS,10YR,5,3,80,15,5,5,0.36,0.01,0.29,7.67,18,46,1,2.7,6.1,4.2,0.8,2.7,1800,9.1,101,granodiorite,-119.14663,37.05518
Shaver,A2,4,18,GS,10YR,5,3,79,17,4,5,0.27,0.01,0.16,2.88,10.9,31,1.1,2.8,6.6,4.4,0.6,2.7,1800,9.1,101,granodiorite,-119.14663,37.05518
Shaver,A3,18,46,DW,10YR,5,3,83,13,6,5,0.27,0.01,0.14,1.77,9.9,22,0.9,2.6,4.4,4.3,0.8,1.9,1800,9.1,101,granodiorite,-119.14663,37.05518
Shaver,A4,46,70,DW,10YR,5,3,80,15,8,5,0.4,0.02,0.21,2.5,9.2,34,1.2,2.6,5.3,4.6,0.7,1.5,1800,9.1,101,granodiorite,-119.14663,37.05518
Shaver,Bw1,70,102,DW,10YR,6,3,80,15,8,5,0.5,0.01,0.14,2.96,8.7,41,0.9,2.6,3.9,4.3,0.6,1.3,1800,9.1,101,granodiorite,-119.14663,37.05518
Shaver,Bw2,102,172,DW,10YR,6,2,83,13,6,5,0.15,0.01,0.55,3.32,5.1,79,0.2,1.8,0.5,3.6,0.2,0.1,1800,9.1,101,granodiorite,-119.14663,37.05518
Sirretta,A1,0,6,CS,2.5Y,4,2,80,15,5,33,0.31,0.02,0.21,3.36,26.5,15,0.1,3.9,3.2,4.6,0.8,2.7,2195,7.2,108,granodiorite,-119.20086,37.16273
Sirretta,A2,6,17,GS,10YR,5,3,78,16,6,33,0.28,0.02,0.09,1.43,11.5,16,0.3,3.9,3.7,4.9,0.5,2.2,2195,7.2,108,granodiorite,-119.20086,37.16273
Sirretta,A3,17,29,GS,10YR,5,3,77,16,7,25,0.34,0.01,0.13,1.04,9.1,17,0.6,4.2,3.6,5,0.4,1.5,2195,7.2,108,granodiorite,-119.20086,37.16273
Sirretta,Bw1,29,62,GS,10YR,6,4,95,2,3,50,0.18,0.02,0.1,0.23,7.7,7,0.3,3.3,2.4,4.1,0.4,1.3,2195,7.2,108,granodiorite,-119.20086,37.16273
Sirretta,Bw2,62,89,AW,10YR,6,4,87,9,4,50,0.15,0.02,0.13,0.16,8.5,5,0.3,2.7,2.3,4.4,0.4,1.1,2195,7.2,108,granodiorite,-119.20086,37.16273
Sirretta,Bw3,89,102,AW,2.5Y,7,2,79,16,5,55,0.13,0.03,0.1,0.12,9.2,4,0.3,1.5,2.1,7.5,0.2,0.9,2195,7.2,108,granodiorite,-119.20086,37.16273
Sirretta,CB,102,131,AW,2.5Y,6,4,81,13,6,30,0.08,0.03,0.05,0.06,7.8,3,0.4,1.2,2,5.4,0.1,0.7,2195,7.2,108,granodiorite,-119.20086,37.16273
Chiquito,A1,0,6,CS,10YR,2,2,80,16,4,40,0.16,0.01,0.05,1.18,14.4,10,0.3,2,3.2,2.3,0.8,2.6,2865,3.9,127,granodiorite,-119.09379,37.29244
Chiquito,A2,6,15,GW,10YR,2,2,81,15,4,32,0.16,0.02,0.01,0.89,12.2,9,0.3,2,3.5,2.7,0.9,2.8,2865,3.9,127,granodiorite,-119.09379,37.29244
