id,name,top,bottom,hue,value,chroma,Db,sand,silt,clay,C,C_to_N,CEC,BS,pH_H2O,pH_CaCl2,pH_KCL,Fe_d,Al_d,Fe_o,Al_o,Si_o,Fe_p,Al_p,P_ret,andic_index,precip,MAP,MAT,elev,veg,Fe_d_to_Fe_t
Top,A1,0,17,10YR,4,3,0.7,57.7,30.7,11.6,42,13,29,45,5.9,5,4.5,12.9,3.6,6.7,6.1,0.8,2.5,2.7,48,9.5,snow,152,3,2700,Alpine,0.32
Top,A2,17,34,10YR,5,3,0.9,61.3,26.5,12.2,22,11,21,47,6.1,5.1,4.6,12.2,3.3,6,6.4,1.2,2.4,2.5,50,9.4,snow,152,3,2700,Alpine,0.32
Top,AC,34,49,10YR,5,3,1.1,62.2,26,11.8,8,8,16,60,6.2,5.1,4.4,12,2.1,5.2,4.3,0.8,1.6,1.4,38,6.9,snow,152,3,2700,Alpine,0.32
Nobu,A1,0,7,10YR,4,2,0.6,69.1,20.4,10.5,62,24,30,45,5.8,4.9,4.3,10.1,3.8,4.5,6.4,0.7,1.6,3.4,53,8.7,snow,140,4.5,2450,Sub Alpine,0.25
Nobu,A2,7,19,10YR,5,3,0.7,65.5,22.2,12.3,21,22,20,46,5.8,4.8,4.2,10.4,3.5,4.9,7.4,1.1,1.4,2.9,58,9.9,snow,140,4.5,2450,Sub Alpine,0.25
Nobu,AC1,19,37,10YR,5,3,0.8,69.4,17.9,12.7,12,17,19,53,6,4.8,4.2,10.2,2.6,4.4,6.5,1.2,0.8,1.8,52,8.8,snow,140,4.5,2450,Sub Alpine,0.25
Nobu,AC2,37,62,10YR,5,3,0.9,58.2,27.7,14.1,10,17,21,54,6,4.9,4.2,9.6,2.2,4.1,6.1,1.2,0.8,1.5,49,8.2,snow,140,4.5,2450,Sub Alpine,0.25
Waca,A1,0,8,10YR,4,2,0.5,64.5,30.1,5.4,82,23,17,32,6,5.3,4.9,8.7,6.6,5.3,27,7.7,0.8,8.3,86,29.7,snow,135,6,2150,Red Fir,0.22
Waca,A2,8,24,10YR,4,3,0.7,60.1,32.7,7.2,43,22,12,19,6,5.3,5.1,11.2,6.9,5.9,34.1,11.7,0.7,6.7,95,37,snow,135,6,2150,Red Fir,0.22
Waca,Bw1,24,38,10YR,4,3,0.7,60.5,34.2,5.3,33,20,12,10,5.8,5.2,5.1,11.6,6.6,6,34.4,12.8,0.6,5.4,96,37.4,snow,135,6,2150,Red Fir,0.22
