state,series
Alabama,Bama
Alaska,Tanana
Arizona,Casa Grande
Arkansas,Stuttgart
California,San Joaquin
Colorado,Seitz
Connecticut,Windsor
Delaware,Greenwich
Florida,Myakka
Georgia,Tifton
Hawaii,Hilo
Idaho,Threebear
Illinois,Drummer
Indiana,Miami
Iowa,Tama
Kansas,Harney
Kentucky,Crider
Louisiana,Ruston
Maine,Chesuncook
Maryland,Sassafras
Massachusetts,Paxton
Michigan,Kalkaska
Minnesota,Lester
Mississippi,Natchez
Missouri,Menfro
Montana,Scobey
Nebraska,Holdrege
Nevada,Orovada
New Hampshire,Marlow
New Jersey,Downer
New Mexico,Penistaja
New York,Honeoye
North Carolina,Cecil
North Dakota,Williams
Ohio,Miamian
Oklahoma,Port
Oregon,Jory
Pennsylvania,Hazleton
Puerto Rico,Bayamon
Rhode Island,Narragansett
South Carolina,Bohicket
South Dakota,Houdek
Tennessee,Dickson
Texas,Houston Black
Utah,Mivida
Vermont,Tunbridge
Virgin Islands,Victory
Virginia,Pamunkey
Washington,Tokul
West Virginia,Monongahela
Wisconsin,Antigo
Wyoming,Forkwood
