"munsell","traditional_name"
"N 2.5/","black"
"N 2.5/0","black"
"N 2/","black"
"N 2/0","black"
"N 3/","very dark gray"
"N 3/0","very dark gray" 
"N 4/","dark gray" 
"N 4/0","dark gray" 
"N 5/","gray" 
"N 5/0","gray" 
"N 6/","gray" 
"N 6/0","gray" 
"N 7/","light gray" 
"N 7/0","light gray" 
"N 8/","white" 
"N 8/0","white"
"N 8.5/0","white"
"N 9/0","white"
"N 9.5/0","white"
"N 8.5/","white"
"N 9/","white"
"N 9.5/","white"
"10Y 2.5/1","greenish black" 
"10Y 2/1","greenish black"
"10Y 3/1","dark greenish gray"
"10Y 4/1","dark greenish gray"
"10Y 5/1","greenish gray"
"10Y 6/1","greenish gray"
"10Y 7/1","light greenish gray"
"10Y 8/1","light greenish gray"
"10Y 3/2","very dark grayish olive"
"10Y 4/2","dark grayish olive"
"10Y 5/2","grayish olive"
"10Y 6/2","light grayish olive"
"10Y 3/4","dark olive"
"10Y 4/4","olive"
"10Y 5/4","light olive"
"10Y 6/4","pale olive"
"5GY 2.5/1","greenish black"
"5GY 2/1","greenish black"
"5GY 3/1","dark greenish gray"
"5GY 4/1","dark greenish gray"
"5GY 5/1","greenish gray" 
"5GY 6/1","greenish gray" 
"5GY 7/1","light greenish gray"
"5GY 8/1","light greenish gray"
"5GY 3/2","very dark grayish green"
"5GY 4/2","dark grayish green"
"5GY 5/2","grayish green"
"5GY 6/2","light grayish green"
"5GY 3/4","dark olive green"
"5GY 4/4","olive green"
"5GY 5/4","light olive green"
"5GY 6/4","pale olive green"
"10GY 2.5/1","greenish black"
"10GY 2/1","greenish black"
"10GY 3/1","dark greenish gray"
"10GY 4/1","dark greenish gray"
"10GY 5/1","greenish gray"
"10GY 6/1","greenish gray"
"10GY 7/1","light greenish gray"
"10GY 8/1","light greenish gray"
"5G 2.5/1","greenish black" 
"5G 2/1","greenish black"
"5G 3/1","dark greenish gray"
"5G 4/1","dark greenish gray" 
"5G 5/1","greenish gray"
"5G 6/1","greenish gray" 
"5G 7/1","light greenish gray"
"5G 8/1","light greenish gray"
"5G 2.5/2","dark grayish green"
"5G 2/2","dark grayish green"
"5G 3/2","dark grayish green"
"5G 4/2","grayish green"
"5G 5/2","grayish green"
"5G 6/2","pale green"
"5G 7/2","pale green"
"5G 8/2","pale green"
"10G 2.5/1","greenish black"
"10G 2/1","greenish black"
"10G 3/1","dark greenish gray"
"10G 4/1","dark greenish gray"
