pantone,hex
100-c,#f6eb61
101-c,#f7ea48
102-c,#fce300
103-c,#c5a900
104-c,#af9800
105-c,#897a27
7401-c,#f5e1a4
7402-c,#ecd898
7403-c,#eed484
7404-c,#f4da40
7405-c,#f2cd00
7406-c,#f1c400
7407-c,#cba052
106-c,#f9e547
107-c,#fbe122
108-c,#fedb00
109-c,#ffd100
110-c,#daaa00
111-c,#aa8a00
112-c,#9c8412
113-c,#fae053
114-c,#fbdd40
115-c,#fdda24
116-c,#ffcd00
117-c,#c99700
118-c,#ac8400
119-c,#897322
127-c,#f3dd6d
128-c,#f3d54e
129-c,#f3d03e
130-c,#f2a900
131-c,#cc8a00
132-c,#a07400
133-c,#6c571b
1205-c,#f8e08e
1215-c,#fbd872
1225-c,#ffc845
1235-c,#ffb81c
1245-c,#c69214
1255-c,#ad841f
1265-c,#886b25
120-c,#fbdb65
121-c,#fdd757
122-c,#fed141
123-c,#ffc72c
124-c,#eaaa00
125-c,#b58500
126-c,#9a7611
7548-c,#ffc600
7549-c,#ffb500
7550-c,#d19000
7551-c,#b47e00
7552-c,#73531d
7553-c,#5a4522
7554-c,#4b3d2a
7555-c,#d29f13
7556-c,#b78b20
7557-c,#9f7d23
7558-c,#967126
7559-c,#8f6a2a
7560-c,#7d622e
7561-c,#6c5d34
134-c,#fdd26e
135-c,#ffc658
136-c,#ffbf3f
137-c,#ffa300
138-c,#de7c00
139-c,#af6d04
140-c,#74531c
1345-c,#fdd086
1355-c,#ffc56e
1365-c,#ffb549
1375-c,#ff9e1b
1385-c,#d57800
1395-c,#996017
1405-c,#6e4c1e
141-c,#f2c75c
142-c,#f1be48
143-c,#f1b434
144-c,#ed8b00
145-c,#cf7f00
146-c,#a76d11
147-c,#715c2a
7408-c,#f6be00
7409-c,#f0b323
7410-c,#fead77
7411-c,#e6a65d
7412-c,#d38235
7413-c,#dc8633
7414-c,#c16c18
7562-c,#bd9b60
7563-c,#d69a2d
7564-c,#db8a06
7565-c,#cd7925
7566-c,#ad6433
7567-c,#89532f
7568-c,#775135
7569-c,#d78825
7570-c,#d3832b
7571-c,#c67d30
7572-c,#b67233
7573-c,#a7662b
7574-c,#9e6a38
7575-c,#835d32
712-c,#fcc89b
713-c,#fdbe87
714-c,#fdaa63
715-c,#f68d2e
716-c,#ea7600
717-c,#d45d00
718-c,#be4d00
148-c,#fecb8b
149-c,#ffc27b
150-c,#ffb25b
151-c,#ff8200
152-c,#e57200
153-c,#be6a14
154-c,#9b5a1a
155-c,#efd19f
156-c,#efbe7d
157-c,#eca154
158-c,#e87722
159-c,#cb6015
160-c,#a1561c
161-c,#603d20
1485-c,#ffae62
1495-c,#ff8f1c
1505-c,#ff6900
1525-c,#b94700
1535-c,#94450b
1545-c,#653819
1555-c,#ffb990
1565-c,#ffa06a
1575-c,#ff7f32
1585-c,#ff6a13
1595-c,#d86018
1605-c,#a65523
1615-c,#8b4720
162-c,#ffbe9f
163-c,#ff9d6e
164-c,#ff7f41
165-c,#ff671f
166-c,#e35205
167-c,#be531c
168-c,#73381d
7576-c,#db864e
7577-c,#e07e3c
7578-c,#dc6b2f
7579-c,#dc582a
7580-c,#c05131
7581-c,#864a33
7582-c,#674736
1625-c,#ffa38b
1635-c,#ff8d6d
1645-c,#ff6a39
1655-c,#fc4c02
1665-c,#dc4405
1675-c,#a9431e
1685-c,#833921
169-c,#ffb3ab
170-c,#ff8674
171-c,#ff5c39
172-c,#fa4616
173-c,#cf4520
174-c,#963821
175-c,#6b3529
7583-c,#c4622d
7584-c,#ba5826
7585-c,#af5c37
7586-c,#9e5330
7587-c,#924c2e
7588-c,#7b4d35
7589-c,#5c4738
7590-c,#d4b59e
7591-c,#c07d59
7592-c,#b15533
7593-c,#9d432c
7594-c,#7c3a2d
7595-c,#6b3d2e
7596-c,#5c3d31
7597-c,#d14124
7598-c,#bd472a
7599-c,#b33d26
7600-c,#8d3f2b
7601-c,#83412c
7602-c,#7b4931
7603-c,#674230
7604-c,#e4d5d3
7605-c,#e1bbb4
7606-c,#d6938a
7607-c,#c26e60
7608-c,#a4493d
7609-c,#823b34
7610-c,#683431
7611-c,#ddbcb0
7612-c,#ca9a8e
7613-c,#bc8a7e
7614-c,#a37f74
7615-c,#866761
7616-c,#6b4c4c
7617-c,#583d3e
7520-c,#eabeb0
7521-c,#c09c83
7522-c,#b46a55
7523-c,#ab5c57
7524-c,#a45248
7525-c,#9a6a4f
7526-c,#8a391b
489-c,#ecc3b2
488-c,#ecbaa8
487-c,#eaa794
486-c,#e8927c
485-c,#da291c
484-c,#9a3324
483-c,#653024
176-c,#ffb1bb
177-c,#ff808b
178-c,#ff585d
179-c,#e03c31
180-c,#be3a34
181-c,#81312f
1765-c,#ffa3b5
1775-c,#ff8da1
1785-c,#f8485e
1788-c,#ee2737
1795-c,#d22630
1805-c,#af272f
1815-c,#7c2529
1767-c,#fcafc0
1777-c,#fb637e
1787-c,#f4364c
1797-c,#cb333b
1807-c,#a4343a
1817-c,#643335
7618-c,#c66e4e
7619-c,#c04c36
7620-c,#b7312c
7621-c,#ab2328
7622-c,#93272c
7623-c,#8a2a2b
7624-c,#802f2d
7625-c,#e1523d
7626-c,#c63527
7627-c,#a72b2a
7628-c,#9e2a2b
7629-c,#6d3332
7630-c,#633231
7631-c,#572d2d
7415-c,#e6baa8
7416-c,#e56a54
7417-c,#e04e39
7418-c,#cd545b
7419-c,#b04a5a
7420-c,#9b2242
7421-c,#651d32
182-c,#fabbcb
183-c,#fc9bb3
184-c,#f65275
185-c,#e4002b
186-c,#c8102e
187-c,#a6192e
188-c,#76232f
196-c,#ecc7cd
197-c,#e89cae
198-c,#df4661
199-c,#d50032
200-c,#ba0c2f
201-c,#9d2235
202-c,#862633
189-c,#f8a3bc
190-c,#f67599
191-c,#ef426f
192-c,#e40046
193-c,#bf0d3e
194-c,#9b2743
195-c,#782f40
1895-c,#f5b6cd
1905-c,#f59bbb
1915-c,#ef4a81
1925-c,#e0004d
1935-c,#c5003e
1945-c,#a6093d
1955-c,#8a1538
705-c,#f5dadf
706-c,#f7ced7
707-c,#f9b5c4
708-c,#f890a5
709-c,#ef6079
710-c,#e03e52
711-c,#cb2c30
698-c,#f2d4d7
699-c,#f4c3cc
700-c,#f2acb9
701-c,#e68699
702-c,#d25b73
703-c,#b83a4b
704-c,#9e2a2f
203-c,#ecb3cb
204-c,#e782a9
205-c,#e0457b
206-c,#ce0037
207-c,#a50034
208-c,#861f41
209-c,#6f263d
210-c,#f99fc9
211-c,#f57eb6
212-c,#f04e98
213-c,#e31c79
214-c,#ce0f69
215-c,#ac145a
216-c,#7d2248
7422-c,#f4cdd4
7423-c,#e06287
7424-c,#e24585
7425-c,#b52555
7426-c,#a4123f
7427-c,#971b2f
7428-c,#6a2c3e
7632-c,#d6c9ca
7633-c,#c4a4a7
7634-c,#c16784
7635-c,#c63663
7636-c,#bc204b
7637-c,#912f46
7638-c,#7e2d40
217-c,#eabedb
218-c,#e56db1
219-c,#da1884
220-c,#a50050
221-c,#910048
222-c,#6c1d45
7639-c,#936d73
7640-c,#934054
7641-c,#8e2c48
7642-c,#732e4a
7643-c,#672e45
7644-c,#582d40
7645-c,#502b3a
223-c,#ef95cf
224-c,#eb6fbd
225-c,#df1995
226-c,#d0006f
227-c,#aa0061
228-c,#890c58
229-c,#672146
230-c,#f4a6d7
231-c,#f277c6
232-c,#e93cac
233-c,#c6007e
234-c,#a20067
235-c,#840b55
670-c,#ead3e2
671-c,#e6bcd8
672-c,#dfa0c9
673-c,#d986ba
674-c,#c6579a
675-c,#ae2573
676-c,#960051
677-c,#e5cedb
678-c,#e3c8d8
679-c,#debed2
680-c,#c996b6
681-c,#b06c96
682-c,#994878
683-c,#7c2855
684-c,#e4c6d4
685-c,#dcb6c9
686-c,#d0a1ba
687-c,#be84a3
688-c,#a76389
689-c,#893b67
690-c,#612141
510-c,#ebbecb
509-c,#e8b3c3
508-c,#e4a9bb
507-c,#d592aa
506-c,#84344e
505-c,#6f2c3f
504-c,#572932
7429-c,#e2bccb
7430-c,#dca9bf
7431-c,#c9809e
7432-c,#b55c80
7433-c,#a73a64
7434-c,#9b3259
7435-c,#872651
691-c,#e9cdd0
692-c,#e4bec3
693-c,#d7a3ab
694-c,#c48490
695-c,#b46b7a
696-c,#984856
697-c,#893c47
496-c,#f2c6cf
495-c,#f1bdc8
494-c,#e9a2b2
493-c,#dc8699
492-c,#8f3237
491-c,#7f3035
490-c,#5d2a2c
503-c,#e9c4c7
502-c,#e5bac1
501-c,#daa5ad
500-c,#c6858f
499-c,#7a3e3a
498-c,#6a3735
497-c,#512f2e
5035-c,#dfc2c3
5025-c,#dbb7bb
5015-c,#cca1a6
5005-c,#b07c83
4995-c,#9c6169
4985-c,#874b52
4975-c,#3f2021
236-c,#f1a7dc
237-c,#ec86d0
238-c,#e45dbf
239-c,#db3eb1
240-c,#c5299b
241-c,#af1685
242-c,#80225f
2365-c,#efbae1
2375-c,#e277cd
2385-c,#d539b5
2395-c,#c800a1
2405-c,#b0008e
2415-c,#9e007e
2425-c,#830065
243-c,#eab8e4
244-c,#e59bdc
245-c,#dd7fd3
246-c,#c724b1
247-c,#bb16a3
248-c,#a51890
249-c,#80276c
7646-c,#a56e87
7647-c,#a83d72
7648-c,#991e66
7649-c,#8a1b61
7650-c,#722257
7651-c,#6a2a5b
7652-c,#5e2751
250-c,#e7bae4
251-c,#dd9cdf
252-c,#c964cf
253-c,#ad1aac
254-c,#981d97
255-c,#72246c
517-c,#ebc6df
516-c,#e6bedd
515-c,#e2acd7
514-c,#d48bc8
513-c,#93328e
512-c,#833177
511-c,#612c51
7436-c,#eedaea
7437-c,#ccaed0
7438-c,#d59ed7
7439-c,#b288b9
7440-c,#a277a6
7441-c,#9f5cc0
7442-c,#963cbd
2562-c,#d7a9e3
2572-c,#c98bdb
2582-c,#ac4fc6
2592-c,#9b26b6
2602-c,#87189d
2612-c,#772583
2622-c,#653165
7653-c,#948794
7654-c,#a2789c
7655-c,#a15a95
7656-c,#8e3a80
7657-c,#6e2b62
7658-c,#6a3460
7659-c,#5d3754
524-c,#d5c2d8
523-c,#c9b1d0
522-c,#ba9cc5
521-c,#a57fb2
520-c,#642f6c
519-c,#59315f
518-c,#4b3048
5245-c,#dbcdd3
5235-c,#d0bec7
5225-c,#c6b0bc
5215-c,#af95a6
5205-c,#86647a
5195-c,#66435a
5185-c,#4a3041
5175-c,#d8c8d1
5165-c,#d3c0cd
5155-c,#bfa5b8
5145-c,#9b7793
5135-c,#7e5475
5125-c,#693c5e
5115-c,#512a44
531-c,#dfc8e7
530-c,#d7b9e4
529-c,#caa2dd
528-c,#b580d1
527-c,#8031a7
526-c,#702f8a
525-c,#572c5f
256-c,#d6bfdd
257-c,#c6a1cf
258-c,#8c4799
259-c,#6d2077
260-c,#642667
261-c,#5d285f
262-c,#51284f
2563-c,#cba3d8
2573-c,#b884cb
2583-c,#a05eb5
2593-c,#84329b
2603-c,#702082
2613-c,#671e75
2623-c,#5f2167
7660-c,#9991a4
7661-c,#8d6e97
7662-c,#7a4183
7663-c,#6b3077
7664-c,#653279
7665-c,#5e366e
7666-c,#5c4e63
2567-c,#c1a0da
2577-c,#a77bca
2587-c,#8246af
2597-c,#5c068c
2607-c,#500778
2617-c,#470a68
2627-c,#3c1053
263-c,#d7c6e6
264-c,#c1a7e2
265-c,#9063cd
266-c,#753bbd
267-c,#5f259f
268-c,#582c83
269-c,#512d6d
2635-c,#c5b4e3
2645-c,#ad96dc
2655-c,#9678d3
2665-c,#7d55c7
2685-c,#330072
2695-c,#2e1a47
270-c,#b4b5df
271-c,#9595d2
272-c,#7474c1
273-c,#24135f
274-c,#211551
275-c,#201747
276-c,#221c35
2705-c,#a7a4e0
2715-c,#8b84d7
2725-c,#685bc7
2735-c,#2e008b
2745-c,#280071
2755-c,#250e62
2765-c,#201547
7667-c,#6e7ca0
7668-c,#686e9f
7669-c,#615e9b
7670-c,#565294
7671-c,#514689
7672-c,#4c4184
7673-c,#535486
7443-c,#dddae8
7444-c,#b6b8dc
7445-c,#a7a2c3
7446-c,#8986ca
7447-c,#5d4777
7448-c,#4b384c
7449-c,#41273b
7674-c,#878cb4
7675-c,#7c7fab
7676-c,#7566a0
7677-c,#6f5091
7678-c,#68478d
7679-c,#563d82
7680-c,#523178
663-c,#e5e1e6
664-c,#e0dbe3
665-c,#c6bcd0
666-c,#a192b2
667-c,#7c6992
668-c,#614b79
669-c,#3f2a56
5315-c,#d8d7df
5305-c,#c6c4d2
5295-c,#b3b0c4
5285-c,#8d89a5
5275-c,#595478
5265-c,#403a60
5255-c,#1e1a34
538-c,#c5cfda
537-c,#bbc7d6
536-c,#a2b2c8
535-c,#8e9fbc
534-c,#1b365d
533-c,#1f2a44
532-c,#1c1f2a
7541-c,#d9e1e2
7542-c,#a4bcc2
7543-c,#98a4ae
7544-c,#768692
7545-c,#425563
7546-c,#253746
7547-c,#131e29
552-c,#b9d3dc
551-c,#a3c7d2
550-c,#8db9ca
549-c,#6ba4b8
548-c,#003d4c
547-c,#00313c
546-c,#072b31
5455-c,#bfced6
5445-c,#b7c9d3
5435-c,#a6bbc8
5425-c,#7a99ac
5415-c,#5b7f95
5405-c,#4f758b
5395-c,#081f2c
642-c,#d1dde6
643-c,#c6d6e3
644-c,#9bb8d3
645-c,#7da1c4
646-c,#5e8ab4
647-c,#236192
648-c,#002e5d
649-c,#dbe2e9
650-c,#ced9e5
651-c,#a7bcd6
652-c,#7d9bc1
653-c,#326295
654-c,#003a70
655-c,#002554
656-c,#dde5ed
657-c,#c8d8eb
658-c,#b1c9e8
659-c,#7ba4db
660-c,#407ec9
661-c,#003594
662-c,#001a70
7450-c,#bdc5db
7451-c,#89abe3
7452-c,#8094dd
7453-c,#7ba6de
7454-c,#5f8fb4
7455-c,#3a5dae
7456-c,#606eb2
2706-c,#cbd3eb
2716-c,#9faee5
2726-c,#485cc7
2736-c,#1e22aa
2746-c,#171c8f
2756-c,#151f6d
2766-c,#141b4d
2708-c,#b8ccea
2718-c,#5c88da
2728-c,#0047bb
2738-c,#06038d
2748-c,#001871
2758-c,#001e62
2768-c,#071d49
2707-c,#c3d7ee
2717-c,#a7c6ed
2727-c,#307fe2
2747-c,#001a72
2757-c,#001e60
2767-c,#13294b
277-c,#abcae9
278-c,#8bb8e8
279-c,#418fde
280-c,#012169
281-c,#00205b
282-c,#041e42
283-c,#92c1e9
284-c,#6cace4
285-c,#0072ce
286-c,#0033a0
287-c,#003087
288-c,#002d72
289-c,#0c2340
7681-c,#94a9cb
7682-c,#6787b7
7683-c,#426da9
7684-c,#385e9d
7685-c,#2c5697
7686-c,#1d4f91
7687-c,#1d428a
545-c,#c6dae7
544-c,#bdd6e6
543-c,#a4c8e1
542-c,#7bafd4
541-c,#003c71
540-c,#003057
539-c,#00263a
290-c,#b9d9eb
291-c,#9bcbeb
292-c,#69b3e7
293-c,#003da5
294-c,#002f6c
295-c,#002855
296-c,#041c2c
2905-c,#8dc8e8
2915-c,#62b5e5
2925-c,#009cde
2935-c,#0057b8
2945-c,#004c97
2955-c,#003865
2965-c,#00263e
297-c,#71c5e8
298-c,#41b6e6
299-c,#00a3e0
300-c,#005eb8
301-c,#004b87
302-c,#003b5c
303-c,#002a3a
7688-c,#4698cb
7689-c,#298fc2
7690-c,#0076a8
7691-c,#006298
7692-c,#005587
7693-c,#004976
7694-c,#01426a
2975-c,#99d6ea
2985-c,#5bc2e7
2995-c,#00a9e0
3005-c,#0077c8
3015-c,#00629b
3025-c,#004f71
3035-c,#003e51
7695-c,#7ba7bc
7696-c,#6399ae
7697-c,#4e87a0
7698-c,#41748d
7699-c,#34657f
7700-c,#165c7d
7701-c,#005776
7457-c,#bbdde6
7458-c,#71b2c9
7459-c,#4298b5
7460-c,#0086bf
7461-c,#007dba
7462-c,#00558c
7463-c,#002b49
304-c,#9adbe8
305-c,#59cbe8
306-c,#00b5e2
307-c,#006ba6
308-c,#00587c
309-c,#003b49
635-c,#a4dbe8
636-c,#8bd3e6
637-c,#4ec3e0
638-c,#00afd7
639-c,#0095c8
640-c,#0082ba
641-c,#0067a0
7702-c,#48a9c5
7703-c,#009cbd
7704-c,#0085ad
7705-c,#007096
7706-c,#006a8e
7707-c,#00617f
7708-c,#005670
628-c,#b8dde1
629-c,#9bd3dd
630-c,#77c5d5
631-c,#3eb1c8
632-c,#0093b2
633-c,#007396
634-c,#005f83
310-c,#6ad1e3
311-c,#05c3de
312-c,#00a9ce
313-c,#0092bc
314-c,#007fa3
315-c,#00677f
316-c,#004851
3105-c,#68d2df
3115-c,#00c1d5
3125-c,#00aec7
3135-c,#008eaa
3145-c,#00778b
3155-c,#006272
3165-c,#004f59
7709-c,#63b1bc
7710-c,#00a7b5
7711-c,#0097a9
7712-c,#00859b
7713-c,#007d8a
7714-c,#007680
7715-c,#006269
317-c,#b1e4e3
318-c,#88dbdf
319-c,#2dccd3
320-c,#009ca6
321-c,#008c95
322-c,#007377
323-c,#005f61
7464-c,#a0d1ca
7465-c,#40c1ac
7466-c,#00b0b9
7467-c,#00a3ad
7468-c,#007398
7469-c,#005f86
7470-c,#005a70
7471-c,#7eddd3
7472-c,#5cb8b2
7473-c,#279989
7474-c,#007681
7475-c,#487a7b
7476-c,#0d5257
7477-c,#244c5a
5523-c,#b6cfd0
5513-c,#abc7ca
5503-c,#94b7bb
5493-c,#7fa9ae
5483-c,#4f868e
5473-c,#115e67
5463-c,#07272d
7716-c,#00968f
7717-c,#00857d
7718-c,#007672
7719-c,#006d68
7720-c,#00635b
7721-c,#005e5d
7722-c,#005151
324-c,#9cdbd9
325-c,#64ccc9
326-c,#00b2a9
327-c,#008675
328-c,#007367
329-c,#00685e
330-c,#00534c
3242-c,#71dbd4
3252-c,#2ad2c9
3262-c,#00bfb3
3272-c,#00a499
3282-c,#008578
3292-c,#00594f
3302-c,#004c45
3245-c,#7ce0d3
3255-c,#2cd5c4
3265-c,#00c7b1
3275-c,#00b398
3285-c,#009681
3295-c,#007864
3305-c,#004e42
3248-c,#6dcdb8
3258-c,#49c5b1
3268-c,#00ab8e
3278-c,#009b77
3288-c,#008264
3298-c,#006a52
3308-c,#034638
566-c,#b9dcd2
565-c,#a1d6ca
564-c,#86c8bc
563-c,#6bbbae
562-c,#006f62
561-c,#00594c
560-c,#1d3c34
573-c,#b5e3d8
572-c,#a5dfd3
571-c,#98dbce
570-c,#6bcaba
569-c,#00816d
568-c,#006c5b
567-c,#173f35
559-c,#adcab8
558-c,#9abeaa
557-c,#85b09a
556-c,#6fa287
555-c,#28724f
554-c,#205c40
553-c,#284734
5595-c,#bfcec2
5585-c,#a7bdb1
5575-c,#92aca0
5565-c,#7f9c90
5555-c,#5c7f71
5545-c,#43695b
5535-c,#183028
5665-c,#bac5b9
5655-c,#b0bdb0
5645-c,#a3b2a4
5635-c,#94a596
5625-c,#708573
5615-c,#5e7461
5605-c,#22372b
5527-c,#bcc9c5
5517-c,#b1c0bc
5507-c,#9db0ac
5497-c,#829995
5487-c,#5d7975
