pantone,hex
100-u,#fef380
101-u,#fff166
102-u,#ffec2d
103-u,#b49f29
104-u,#9b8d39
105-u,#7d7547
7401-u,#fee5a5
7402-u,#f3da9a
7403-u,#f4cf81
7404-u,#fdcf41
7405-u,#e6b10e
7406-u,#f1b828
7407-u,#cca36e
106-u,#ffeb68
107-u,#ffe552
108-u,#ffdd35
109-u,#ffc700
110-u,#cc9f26
111-u,#9c873b
112-u,#8a7a3e
113-u,#ffe15e
114-u,#ffd94a
115-u,#ffce2e
116-u,#ffb511
117-u,#b78c30
118-u,#9e8139
119-u,#847748
127-u,#fce385
128-u,#fccf61
129-u,#faaf3f
130-u,#f79b2e
131-u,#ba8032
132-u,#977a3c
133-u,#7c7047
1205-u,#ffe495
1215-u,#ffda7e
1225-u,#ffbb4f
1235-u,#ffae3b
1245-u,#bb8b41
1255-u,#a08246
1265-u,#887549
120-u,#ffd96a
121-u,#ffcc52
122-u,#ffc03f
123-u,#ffac2a
124-u,#d79133
125-u,#a6813d
126-u,#8e7742
7548-u,#ffc915
7549-u,#ffb838
7550-u,#ce973d
7551-u,#ae8643
7552-u,#826f4b
7553-u,#70654b
7554-u,#6c6558
7555-u,#d7a95a
7556-u,#bc995d
7557-u,#a58d5f
7558-u,#9b835e
7559-u,#977f5e
7560-u,#8e7e62
7561-u,#807964
134-u,#ffd378
135-u,#ffc267
136-u,#ffad4a
137-u,#ff9f37
138-u,#d37c32
139-u,#9d6f3c
140-u,#7f6a45
1345-u,#ffd591
1355-u,#ffc87e
1365-u,#ffad5b
1375-u,#ff9940
1385-u,#cd7e3e
1395-u,#946e43
1405-u,#796648
141-u,#f9c16e
142-u,#f8b05d
143-u,#f6a04d
144-u,#f38b3c
145-u,#c97f3a
146-u,#9d7441
147-u,#76694a
7408-u,#ee9d26
7409-u,#f7ad50
7410-u,#ffa06e
7411-u,#e9a16f
7412-u,#d08c60
7413-u,#de8958
7414-u,#c07f53
7562-u,#bda078
7563-u,#daa563
7564-u,#de9858
7565-u,#c98659
7566-u,#ae7b5e
7567-u,#90705c
7568-u,#826d5e
7569-u,#d28e56
7570-u,#d18d5b
